tx_id,tx_time,amount,channel,merchant_category,home_country,merchant_country,is_foreign,high_risk_country,same_country,card_present,hour_of_day,day_of_week,customer_id,merchant_id,customer_age,tenure_months,past_chargebacks,vip_customer,ip_risk_score,device_trust_score,txns_last_24h,amount_last_24h,is_fraud
TXK9M73CL11U5LOW,2024-03-19 07:38:53,38.34,ecommerce,digital_services,UK,PL,1,0,0,0,7,1,C315829,M35869,61,66,0,0,30.0,30.0,0,0.0,0
TX7PMUNTC3Y0RXEN,2024-02-01 12:57:36,20.62,ecommerce,gaming,UK,NL,1,0,0,0,12,3,C728486,M64579,53,110,0,0,19.0,22.0,0,0.0,0
TXFI8L8KTQLY5DYU,2024-02-28 23:29:59,15.26,ecommerce,grocery,PL,CN,1,1,0,0,23,2,C375860,M16139,74,98,0,0,35.0,40.0,1,17.26,0
TXF5KZQRQSXE5XY5,2024-03-13 17:45:18,20.97,pos,restaurants,DE,UK,1,0,0,1,17,2,C749897,M98822,49,22,0,0,30.0,75.0,1,9.15,0
TXI37HRZKULIAR3W,2024-01-23 13:00:51,42.28,pos,grocery,UK,DE,1,0,0,1,13,1,C106995,M47815,59,170,0,0,41.0,62.0,6,28.65,0
TX83IP5QRM6E68GJ,2024-03-08 07:22:13,43.33,ecommerce,restaurants,PL,ES,1,0,0,0,7,4,C693163,M13898,22,68,0,0,38.0,32.0,0,0.0,0
TX5BX1NW2IVE9VJ7,2024-03-09 03:43:57,11.14,ecommerce,fuel,NL,NL,0,0,1,0,3,5,C655717,M67426,78,76,0,0,14.0,43.0,0,0.0,0
TXUP003WRF9X1FI1,2024-02-01 19:26:45,32.36,pos,travel,ES,US,1,0,0,1,19,3,C742073,M58474,49,75,0,0,46.0,66.0,0,0.0,0
TXUAI9RXUEVXP9XX,2024-02-29 02:45:53,704.45,pos,fashion,PL,PL,0,0,1,1,2,3,C195749,M87384,23,87,0,0,12.0,80.0,1,0.72,0
TX9DOA8CRUE0QWEK,2024-03-09 02:55:07,64.25,pos,digital_services,DE,FR,1,0,0,1,2,5,C365695,M34835,49,3,0,0,16.0,79.0,0,0.0,0
TXBE2FUQQJMFX0K9,2024-03-29 11:16:46,44.58,ecommerce,gaming,DE,US,1,0,0,0,11,4,C355694,M12239,32,98,0,0,21.0,27.0,0,0.0,0
TX4XDBDXYC7BT76Z,2024-02-25 06:36:29,54.74,ecommerce,grocery,NL,IN,1,0,0,0,6,6,C252470,M76219,70,146,0,0,15.0,32.0,1,39.7,0
TXJ1WDNHVOV4VD1K,2024-01-24 13:28:55,32.87,ecommerce,grocery,FR,FR,0,0,1,0,13,2,C695088,M31558,43,176,0,0,14.0,44.0,0,0.0,0
TXICUFP4JW5J5EI9,2024-02-13 21:04:22,31.52,ecommerce,fashion,PL,CN,1,1,0,0,21,1,C611874,M50745,65,86,0,0,52.0,41.0,0,0.0,0
TXSGU53LVZOQ2KGJ,2024-02-19 18:39:10,48.49,pos,digital_services,UK,DE,1,0,0,1,18,0,C316532,M60596,23,123,1,0,27.0,61.0,1,11.42,0
TX0EZ3HBE8VWPTTE,2024-02-17 21:36:36,64.23,pos,restaurants,DE,US,1,0,0,1,21,5,C192272,M58932,65,30,0,0,43.0,56.0,0,0.0,0
